Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-25,13.327,13.401,13.298,13.383,49743963,40.559,40.603,40.195,40.312,15716725,150.4,151.97,150.37,151.22,2076379,57.893,58.066,57.619,57.79600000000001,8852148,26.131,26.42,26.103,26.41,11693690,41.806999999999995,41.821999999999996,41.468,41.702,13987750
2016-07-22,13.283,13.411,13.206,13.392999999999999,49990934,40.366,40.603,40.119,40.551,13942626,151.02,151.41,150.61,151.13,1923091,57.823,57.994,57.55,57.948,9057229,26.086,26.357,26.049,26.221,14334317,41.876000000000005,41.91,41.684,41.876000000000005,15668020
2016-07-21,13.44,13.477,13.283,13.292,76092560,40.733000000000004,40.914,40.374,40.393,16433995,152.34,152.52,150.52,150.79,3181519,57.913000000000004,58.076,57.57899999999999,57.63399999999999,10998584,26.039,26.366,25.96,26.176,22446904,42.161,42.301,41.849,41.858000000000004,18372712
2016-07-20,13.366,13.44,13.283,13.411,85046333,40.76,40.914,40.458,40.705999999999996,18073802,153.13,153.47,150.0,152.4,3764768,58.013000000000005,58.12,57.653,57.85,11497918,26.42,26.42,25.559,26.094,31531782,42.108999999999995,42.196999999999996,41.942,42.126000000000005,19109285
2016-07-19,13.095,13.383,13.069,13.283,103970947,40.449,40.906,40.333,40.594,16711019,152.64,154.56,151.41,152.04,5728489,57.559,58.004,57.423,57.788000000000004,10750684,25.340999999999998,25.750999999999998,25.176,25.559,23643999,41.667,42.075,41.638000000000005,41.919,18441245
2016-07-18,12.89,13.255,12.872,13.14,200707645,40.531,41.1,40.495,40.796,20408954,152.94,154.56,152.63,153.86,5003678,58.032,58.275,57.823,57.878,11958104,25.441999999999997,25.596999999999998,25.261999999999997,25.576999999999998,15380556,41.431000000000004,41.886,41.408,41.841,27828379
2016-07-15,12.832,12.842,12.592,12.722000000000001,84044561,41.188,41.216,40.133,40.575,31875479,153.44,153.69,151.38,152.27,3264896,58.593,58.636,57.559,58.076,19446048,25.616,25.636999999999997,25.107,25.397,20245054,42.335,42.361000000000004,41.085,41.346000000000004,40476626
2016-07-14,12.788,12.832,12.704,12.714,104827678,40.621,40.979,40.384,40.687,40484801,151.02,153.77,150.75,153.12,5399826,58.583,58.799,57.958,58.022,32021576,25.206,25.46,25.076999999999998,25.386999999999997,17021833,42.507,42.595,42.18,42.411,20230394
2016-07-13,12.573,12.648,12.405999999999999,12.517999999999999,79839533,39.662,39.981,39.378,39.662,22355319,147.9,149.08,147.11,148.78,4538694,57.081,57.397,56.684,57.152,20374017,24.886,24.914,24.426,24.625999999999998,14225978,41.867,42.006,41.581,41.831,16599193
2016-07-12,12.491,12.665999999999999,12.481,12.610999999999999,95542151,39.195,39.798,39.141,39.763000000000005,25993641,145.08,148.14,145.0,147.84,5434209,57.034,57.513999999999996,56.907,57.19,18328873,24.316,24.878,24.29,24.818,17095546,41.961000000000006,42.144,41.785,41.902,17363556
2016-07-11,12.376,12.481,12.293,12.302999999999999,71816840,38.801,39.131,38.71,38.71,21551394,142.71,144.1,142.6,143.37,3229093,56.485,56.964,56.229,56.349,14352772,24.199,24.408,23.926,23.991999999999997,14515657,41.684,41.989,41.547,41.667,18450047
2016-07-08,12.368,12.405999999999999,12.21,12.265999999999998,99496854,38.263000000000005,38.691,38.102,38.425,32185335,140.7,142.17,139.71,141.66,3483053,55.497,56.256,55.497,55.949,18777213,23.729,23.963,23.601999999999997,23.91,15597125,41.121,41.528,41.121,41.416000000000004,22818123
2016-07-07,11.98,12.21,11.958,12.118,108505215,37.832,38.499,37.611,37.794000000000004,26836445,137.54,139.49,136.91,138.48,2733049,54.765,55.326,54.43899999999999,54.816,15216946,22.910999999999998,23.497,22.903000000000002,23.293000000000003,14809738,40.37,40.919000000000004,40.247,40.556999999999995,20706669
